0,1,2,3,4,5,6,7,8
-3.888186,2.3965244,1.847308,-2.6183562,3.1680443,6.658755,0.8359221,0.04778418,-0.5027563
-3.2775602,5.1781173,-1.2273072,-0.96097803,4.992303,5.658303,0.17938295,1.4136406,2.812747
-3.0805588,1.2136335,3.2880456,-2.7226655,3.1968133,4.470259,0.080205075,1.5595739,0.1022659
-2.5475733,4.2438393,-0.9349731,0.010151118,5.0462904,4.3318768,-0.38721922,-0.9105428,1.0616497
1.6701688,2.5434885,-1.7574346,3.696316,4.4796634,4.110839,0.9879019,-4.4446297,-2.033829
-0.9507934,4.894524,-0.10056336,1.2766281,3.7175205,3.2889059,0.65659046,-6.89265,1.2871015
-3.8112962,3.4960105,0.006351996,-1.9072,7.063821,6.2983313,-1.0906305,-0.37176964,1.9517798
-4.302079,4.0213156,2.77386,-2.3459868,1.8680831,4.841164,0.6811309,-0.725228,-0.77899
-3.0265336,3.7116761,-1.443208,-1.1189264,4.7058907,7.397911,0.6126879,-0.37951735,1.0469264
0.9371737,3.1119306,-0.7949318,3.384166,4.322836,3.0879765,0.34587666,-7.337592,-2.3025827
1.0820795,4.0871696,-1.5155852,2.4705203,2.9324539,4.1308503,1.1950425,-5.6359506,-0.13039428
-2.9794753,2.452498,0.3550192,-1.9148401,4.9450045,6.2923474,0.37252775,-0.008772282,1.6651127
0.6747414,3.751593,-0.901347,2.3495996,4.9242682,3.308532,0.4477003,-3.3854485,0.91260564
-2.270658,2.081385,-1.0645636,-0.50262845,5.9718237,5.9355297,-0.2520864,-1.003555,0.68317574
-2.6628475,3.7015142,-0.525346,-0.39855245,6.424371,3.9643,-1.0212753,0.1878461,2.1727479
-4.0525513,4.351085,0.056506444,-2.031458,6.386644,6.1190634,-1.0126314,-0.8983301,2.1030066
-1.5814273,2.967961,-1.8149515,-0.22564486,4.183833,4.418418,0.32068458,-0.8033735,2.658457
1.1551291,1.8312794,1.0243005,2.6128838,2.7053554,3.7109287,1.3192763,-3.602907,-4.0873966
-4.022147,4.7638383,-0.5380077,-2.3642983,4.7658954,7.5894046,0.0010243878,-1.4867288,1.8401897
-5.0955224,1.9665977,2.905346,-1.6926883,4.0116243,3.5386817,0.45334694,-0.9432965,-0.69594675
-3.5184317,4.963713,-0.63535696,-1.1680564,5.393649,5.506146,-0.40146467,-0.061956614,2.1241515
-2.5944715,3.9276404,1.2620839,-1.526329,2.782739,3.5432603,0.9794296,1.3304104,2.9123604
-3.7369843,0.098338954,1.8253695,-2.2060428,3.6278691,5.3034678,0.9746512,-1.2419835,-0.1013233
-2.3173845,2.9877136,-1.6749015,-0.67341006,4.3266544,6.655385,0.6478993,-1.2272135,0.9429816
1.3306221,2.905038,-1.8221425,3.4458194,3.8891356,2.8293684,1.1415923,-4.927945,-0.14596933
-0.8410739,2.4048045,-1.0842414,2.9028008,4.6273704,3.612808,1.5434761,-6.9787073,-1.0236194
-1.3657545,4.777714,-0.41798156,1.9503764,4.2755613,5.19068,1.2172244,-5.943396,-1.348753
-2.21679,2.3897305,-1.2870485,-0.8725637,5.854022,5.535453,-0.124168076,0.27006254,2.5662198
-3.3359895,1.0810784,2.809145,-3.0858033,3.9140306,5.686486,-0.05879245,-0.039487273,0.0827095
-4.746636,4.0309463,-0.6887824,-1.127014,5.3623633,4.0112963,0.13691923,-1.9026072,3.328299
-4.864802,2.634261,-0.8019809,-1.4570755,5.8572025,5.160176,0.41485044,-2.2742891,2.9310575
-2.020401,2.569095,2.9505723,1.6661581,3.03311,2.1929815,1.4611621,-4.8016734,-3.038994
1.5187246,2.6623037,-2.0589118,2.8380504,3.446747,5.071929,1.575125,-4.9978266,-1.0014435
-3.6824546,2.2686594,-1.0533845,-1.5237821,5.60219,6.716176,0.3596386,-1.8596824,1.7581594
-0.935961,5.578529,-0.14916046,2.5539033,4.3975973,2.8010638,0.42461357,-5.7419133,-0.47121412
-3.6765687,3.4212487,-0.21438034,-1.7970345,5.907537,5.8589315,-0.7387099,-2.2349472,1.8534893
-1.949154,1.59366,0.28806466,-1.3272816,4.2413683,4.458296,0.09595268,-2.1669242,1.7398088
-3.4058192,4.335117,-0.13451977,-1.5132467,5.7177143,4.702299,-1.065207,-1.6214075,2.5018578
-4.137549,4.314361,-0.4482594,-1.0851212,6.18391,4.846114,-0.4889104,-0.32176337,2.4422965
0.9049741,3.4139073,-1.9198676,2.4579074,3.0953796,4.338292,1.687531,-4.947442,0.4784307
-2.8004503,4.6251826,-0.5566352,-0.006292671,5.392877,3.8338044,-0.8006504,-1.0363516,1.0659975
-0.6744188,3.5429623,-1.0794711,2.1651595,3.8242364,5.1264286,1.6662925,-6.3886285,-1.0231936
-3.976919,2.041722,2.0540147,-3.1110482,2.7095568,6.5128155,0.86617684,-1.9182429,0.049453445
-2.2340007,1.783552,-1.3334674,-1.2047908,5.8387957,6.393127,0.035202943,-0.28073713,2.2494254
0.9447051,3.4372597,-0.7529965,2.8771837,5.127181,2.8036568,0.122195385,-4.32146,-0.14339739
-3.4161115,3.4640887,-0.3133257,-1.4802036,5.3867154,5.493842,-0.656555,-2.9925845,1.4507455
-1.2609578,5.6182437,0.01936363,1.7208015,4.042562,5.2667165,0.7085835,-6.647705,-1.8660012
-3.28966,4.555841,-0.13949187,-0.39968976,6.19617,4.3546596,-1.1428518,-0.94067776,0.85012925
-1.4871467,2.6597197,0.44416133,-0.5194441,1.5095237,4.0828032,1.759953,-1.0196822,0.75811994
-0.20456731,3.9325852,-1.7103673,3.2794902,3.1485403,4.131466,1.9607692,-6.375368,-1.5424385
-2.8849711,3.5776083,-1.1891288,-0.99610317,5.1864743,5.84435,0.08352985,-0.2892858,2.1337426
-3.7908018,3.154503,-0.86851996,-0.80587184,5.043146,4.5402427,0.10489739,-2.937447,1.9462425
-4.240655,5.2917056,-0.76346,-0.94416,4.0272074,6.075554,0.4212588,-2.5549777,0.53553534
-2.7584846,1.1157746,2.0558674,-2.0934937,3.4244516,5.7128844,0.63870424,2.2374272,-0.5128761
-3.1851492,4.4360676,-1.2659644,-0.9457917,5.4478054,6.3005195,0.21880037,1.5181221,2.2356591
-4.453151,4.811399,0.071204826,-1.8382668,5.7048388,7.0459895,-0.6207968,-2.1308312,0.32836586
-2.9676747,2.6989682,-1.1364584,-1.1123599,5.00655,5.1801715,0.09600481,-2.0517445,2.4867864
-3.2049098,3.2256382,-1.8956014,-0.06817421,4.0872498,4.539894,1.1191407,-1.4948126,2.2693672
1.7078676,4.0056796,0.22190247,2.768999,0.85239047,1.161896,2.0743954,-3.2348096,0.5401401
-4.122642,2.6463988,0.77385265,-1.3348016,5.152381,5.0094876,0.31109935,-1.8828323,0.7484434
-2.3965745,2.5409667,-1.5594535,-0.69978595,5.626661,6.715492,0.3685135,0.58762616,1.441331
-3.9313116,1.7852594,2.2872477,-3.0095713,5.1296396,6.7707653,-0.33738363,-0.7486313,-0.38549286
-2.0801349,3.6131527,-1.0659955,-0.31141558,4.9080515,3.61608,-0.4865392,-1.1314615,2.5693607
1.2960596,3.3479638,-0.03414346,2.9649603,3.6360745,2.4490638,1.0135907,-3.4711246,-0.7113524
-3.2092857,3.5484493,-0.73048395,-0.6718166,6.3829985,6.3895683,-0.35540482,0.31882706,0.52747136
-5.035304,6.561265,-0.013157558,-2.2939425,4.8251743,6.308752,-0.3526128,-1.206111,2.4346175
0.80559385,5.4238043,-1.6045381,3.7139099,2.516616,3.7145689,1.3116713,-6.0556746,-2.3163702
-3.947144,3.6033514,-0.7461571,-1.3886734,6.058322,6.6715956,-0.019436248,-0.2856829,1.5713124
1.3103727,4.1583447,-1.5295069,3.1468413,3.6986768,2.7185662,0.81407225,-4.1548476,0.35861105
1.2527968,0.457919,1.4581453,2.035787,3.4758139,3.7727218,1.0546076,-3.6772933,-3.389182
2.167228,2.0230513,-2.2702596,3.508559,3.7369964,4.0719433,1.3655922,-4.751675,-1.0663148
-3.3123384,1.5736642,1.6141535,-1.8344325,3.5745797,5.227012,0.22584853,-3.633108,-1.0075068
-2.7515864,3.7951229,-0.9029102,-0.47107378,5.2913313,5.294182,-0.2910622,-0.9613084,1.0093513
0.63871145,3.55188,-2.2880383,3.742731,2.912809,1.8688513,1.8967047,-5.372954,0.81914777
-0.6255208,5.79072,-1.1219685,1.9037939,2.5917804,4.639705,1.647851,-5.573369,0.20068544
-0.46034276,1.5955857,1.2688109,2.1602752,2.2937787,3.5910714,2.2224684,-4.538446,-3.3030307
-4.460168,3.2315009,1.0349549,-1.7642499,5.87853,5.1448326,-0.03739784,-0.26363155,1.6689553
-2.8005211,5.2454133,-1.5596844,-0.5945498,2.6326845,4.409527,0.77638537,-2.0910487,2.7169535
-4.363361,4.120851,-0.01769979,-2.2559507,5.785848,7.010334,-0.585276,-2.3031635,1.3090625
1.4023029,4.408771,-1.6514012,3.8900054,3.5913844,3.0574896,0.8945518,-4.583949,-1.5503668
-3.0694475,1.6601583,1.798651,-1.8389823,4.2986903,5.859584,0.10102566,0.5018132,-1.1467795
-1.8629422,3.3877945,-1.7017318,-0.13951316,4.4914827,4.54923,0.25860518,-0.16007838,2.4102306
-2.7584846,1.1157746,2.0558674,-2.0934937,3.4244516,5.7128844,0.63870424,2.2374272,-0.5128761
-3.2775602,5.1781173,-1.2273072,-0.96097803,4.992303,5.658303,0.17938295,1.4136406,2.812747
0.88803184,3.3555343,0.5774348,2.0851214,2.7793276,2.3450704,0.82606995,-6.722227,-0.46920627
0.39347827,2.3673036,-0.5969481,2.4624772,5.1558247,3.289316,0.37839016,-6.2702684,-0.40610498
-4.3704505,1.128535,3.3875465,-3.1669464,2.9605072,4.569403,0.74220955,0.8053986,0.79309994
1.0953408,3.3470209,-1.5000767,2.4281561,3.626685,5.341571,1.2200185,-5.2637634,-1.2184477
0.87995696,4.1825376,-1.13055,3.6509101,4.646212,3.7928722,0.5757252,-4.2430716,-2.3541238
0.46561778,3.6276124,-1.3766513,3.2731678,3.6932447,3.6428974,1.2149653,-6.267069,-1.5140566
-4.937691,5.015945,-1.1199473,-0.84164584,5.1598344,4.9645085,0.68300134,0.0638769,2.914219
-2.0801349,3.6131527,-1.0659955,-0.31141558,4.9080515,3.61608,-0.4865392,-1.1314615,2.5693607
-2.7568398,2.9041247,-0.9611885,-1.6996943,4.399213,6.812197,0.12335285,-2.9591265,1.40825
-3.6172132,2.6018023,-0.5684158,-0.7543373,5.5613365,5.004046,-0.25680748,-3.529963,0.7656711
-4.3890996,4.2841725,-1.1327112,-2.176305,4.240999,6.5869374,0.76777256,-1.6855826,3.3270307
-5.2659307,2.3668952,1.8568432,-2.6137464,4.837799,5.013541,1.0966539,-0.59904903,2.631979
-3.9787202,4.933784,-0.3531788,-1.2799474,5.773862,4.872222,-0.6346428,-0.44048247,2.5679832
0.59021044,3.1405067,-0.25972468,2.1130805,5.6220384,3.2095518,-0.16584459,-4.594032,0.36259717
-2.7325838,2.8130896,-0.5011552,-1.2546132,5.298365,4.352849,-0.7902715,-3.1535819,2.376102
-4.5473356,3.3801215,-0.4046027,-1.5163232,5.6558533,4.378886,-0.21670076,-2.752875,3.0794306
-3.9648688,4.7991138,-1.0366303,-1.2208686,5.069354,5.5729465,0.25642684,0.11378291,2.8328264
-3.9515889,2.3969615,-0.6786372,-1.9084021,5.9813333,6.42356,-0.04623992,-2.039434,2.2951846
-4.3229647,5.576795,-1.136144,-0.18668142,4.473666,4.2351484,0.5646815,-0.4757397,2.109201
-4.8941903,3.8124707,-1.1256523,-1.7954218,5.104487,7.6044545,0.9662267,-1.1682472,1.7107588
-4.5717177,4.73229,-0.9496953,-0.8854872,4.7817097,4.3083587,0.3938066,-1.4643708,2.9260683
-2.2285006,2.5137637,-1.6094271,-0.43394795,5.5203633,6.4254813,0.36700055,0.43230787,1.2113379
-2.4776626,2.5103445,-0.9362102,-0.983955,6.2789474,5.402013,-0.49209574,0.026871832,2.3848433
-1.2110891,3.2901976,-0.87476414,2.5420883,4.608657,2.9770043,1.3891168,-6.2113276,0.36559522
0.20574868,2.416927,1.4135836,2.663965,2.6392202,3.2792542,1.574733,-3.0946138,-4.100053
0.4039663,3.0160806,-1.5992397,3.8896902,4.0994654,2.5199506,1.3071048,-6.0961075,-1.2152524
-4.322095,2.133645,1.3322182,-1.031066,3.4691591,4.8997803,1.0671343,-1.6566072,-1.5073769
-3.2374456,2.0228782,-0.28089827,-2.554517,6.232375,6.874481,-0.7672552,-2.4928586,2.3709922
-3.6801689,4.3599033,-0.27609867,-1.2577763,6.566329,5.7104836,-0.8495412,0.37994316,1.8181161
-2.1437902,3.175629,-1.3240622,0.5120261,5.622633,5.107213,-0.061430104,0.084317535,0.13886148
-3.3999538,4.17895,-1.1910491,-0.7803122,4.6069613,6.2372003,0.4244614,-1.1917824,0.9884804
-2.4309196,3.392224,-0.49122393,-0.60600984,4.9161735,4.061447,-0.86113274,-3.4141798,1.197671
-2.5169265,1.4452033,1.9883168,-1.3571426,1.1983918,3.6765096,1.0582064,-1.9385723,-0.88891244
-2.2230828,1.6787461,1.956638,-1.5196828,2.084798,4.658236,0.72349685,0.9502434,-1.0677304
0.3973912,4.2005115,2.331296,2.1211803,0.42283106,2.2929528,1.3159992,-5.168192,-3.9387555
-3.8599505,4.1594234,-1.3056431,-0.20024613,4.5765533,5.8336735,0.7608936,-1.5365722,0.34584486
-2.97045,2.3790152,-1.0390084,-1.7230002,4.9548187,6.819167,0.16863993,-2.5232337,1.7209642
-2.3630953,3.3680866,-0.49209934,-1.0346376,4.9565496,3.5173032,-1.0080631,-3.0661519,2.7481956
-4.0959115,5.2493887,0.0965337,-2.270706,5.4871063,5.4421816,-1.0065958,-1.5129298,3.002487
-3.882432,2.4888108,-0.5767929,-2.0266526,6.312286,6.695486,-0.22965008,-1.4191952,2.3008103
-0.81700623,6.2705407,-0.3343708,2.0326602,3.250346,4.4150877,0.84583795,-6.2214947,-1.0804002
-2.4430506,3.6914775,-1.3044589,-1.5184555,3.524195,5.801633,0.31574026,-2.5804403,2.610724
-4.388634,5.1109242,-1.4672898,-0.4913223,4.235053,5.6804953,1.0997915,-0.47777686,1.6714227
-3.0969498,4.4838233,-0.9260901,-0.49070802,4.4915123,4.986163,-0.058301754,-1.8524829,1.0958163
-1.047973,4.2725554,-1.1874378,1.6245633,3.4434757,5.556037,1.9880683,-5.4826956,0.07754607
-2.4262002,3.18943,-1.6461504,-0.91402555,4.174089,6.6506815,0.6503004,-1.2955866,1.3661551
-3.5329618,5.1164227,-1.4586307,-0.23040184,3.8684042,6.239933,0.87997633,-1.0035038,0.27448517
-3.8100476,4.613203,-1.0074071,0.3264884,5.218913,3.403414,0.0973552,-0.73491424,1.7109272
-4.6283946,3.1341355,-0.3261512,-1.9750315,6.026573,5.5289693,-0.27551505,-2.4655333,2.7764366
-2.4615512,3.0465927,-1.2891587,-1.3882594,5.0414424,5.056765,-0.0343676,-0.4204757,3.8513775
0.022008544,2.628796,2.3420088,1.6692971,2.0292468,2.717675,0.96319073,-6.503287,-3.4403222
-3.1744878,4.2770643,-0.4229676,-1.1648732,5.977447,4.5272117,-0.9070103,-0.21778008,2.8330452
-2.4200866,0.35263166,2.3108754,-2.4600005,3.045675,5.44648,0.6899575,1.8863524,0.09080166
0.5725528,1.8180218,1.624067,2.1269767,3.9143834,3.9275503,0.7097497,-3.951225,-3.9772243
-4.3151784,4.071831,0.9048788,-1.244335,4.1351624,4.3715897,0.34052834,-2.4679022,0.81301326
1.719453,2.4417694,-1.4797955,3.6404605,4.6847405,3.3969529,0.59923804,-4.9832134,-1.676797
